SalesDocument,SoldToParty,ShipToParty,BillToParty,PayerParty,SalesDocumentDate,TotalNetAmount,TransactionCurrency
0000500001,0010000007,0010000007,0010000007,0010000007,2026-02-10,20000.00,EUR
0000500002,0010000007,0010000007,0010000007,0010000007,2026-03-05,25000.00,EUR
0000500003,0010001026,0010001026,0010001026,0010001026,2026-05-08,37500.00,CAD
0000500004,0010001032,0010001032,0010001032,0010001032,2026-02-16,500.00,GBP
0000500005,0010001022,0010001022,0010001022,0010001022,2026-04-11,33500.00,GBP
0000500006,0010001030,0010001030,0010001030,0010001030,2026-05-26,18000.00,USD
0000500007,0010001001,0010001001,0010001001,0010001001,2026-03-26,16500.00,CAD
0000500008,0010001011,0010001011,0010001011,0010001011,2026-01-24,6000.00,NOK
0000500009,0010001005,0010001005,0010001005,0010001005,2026-06-27,43500.00,EUR
0000500010,0010001030,0010001030,0010001030,0010001030,2026-05-11,16500.00,USD
0000500011,0010001012,0010001012,0010001012,0010001012,2026-05-20,10000.00,CHF
0000500012,0010001014,0010001014,0010001014,0010001014,2026-02-10,21000.00,EUR
0000500013,0010001022,0010001022,0010001022,0010001022,2026-01-19,19000.00,GBP
0000500014,0010001020,0010001020,0010001020,0010001020,2026-05-17,32500.00,EUR
0000500015,0010001036,0010001036,0010001036,0010001036,2026-05-09,15500.00,CHF
0000500016,0010001006,0010001006,0010001006,0010001006,2026-05-02,5000.00,EUR
0000500017,0010001035,0010001035,0010001035,0010001035,2026-03-11,19500.00,EUR
0000500018,0010001027,0010001027,0010001027,0010001027,2026-03-14,7500.00,GBP
0000500019,0010001029,0010001029,0010001029,0010001029,2026-01-09,49500.00,EUR
0000500020,0010000007,0010000007,0010000007,0010000007,2026-03-05,1000.00,EUR
0000500021,0010001025,0010001025,0010001025,0010001025,2026-03-27,26000.00,NOK
0000500022,0010001018,0010001018,0010001018,0010001018,2026-03-02,20000.00,EUR
0000500023,0010001001,0010001001,0010001001,0010001001,2026-03-07,8500.00,CAD
0000500024,0010001009,0010001009,0010001009,0010001009,2026-01-18,25500.00,EUR
0000500025,0010001017,0010001017,0010001017,0010001017,2026-06-09,14500.00,EUR
