AddressID,OrganizationName,StreetName,HouseNumber,PostalCode,CityName,Country
A0007,Mueller Logistik Gmbh,Industriestr.,12,20095,Hamburg,DE
A1001,Maple Leaf Mining Corp.,Resource Drive,3,T2P 1J9,Calgary,CA
A1002,Bayerische Stahlweke AG,Hauptstrasse,5,80331,Muenchen,DE
A1003,Bayerische Stahlwerke AG.,Hauptstr.,5,80331,Muenchen,DE
A1004,Maple Leaf Mining Corp.,Resource Drive,3,T2P 1J9,Calgary,CA
A1005,Lumière Énergie SARL,Rue de la Paix,9,75002,Paris,FR
A1006,Lumière Énergie S.A.R.L.,Rue de la Paix,9,75002,Paris,FR
A1007,Nordind Log. GmbH,Industriestr.,12,20095,Hamburg,DE
A1008,Norwind Logistik GmbH,Industriestr.,12,20095,Hamburg,DE
A1009,Orion Datentechnik GMBH,Forschungsallee,19,12489,Berlin,DE
A1010,Schaefer Praezisionstechnik Gmbh,Werkstr.,8,70173,Stuttgart,DE
A1011,Nordic Timbre AS,Havnegata,4,0150,Oslo,NO
A1012,Helvetia Finanz AG,Bahnhofstr.,3,8001,Zürich,CH
A1013,Helvteia Finanz A.G.,Bahnhofstrasse,3,8001,Zürich,CH
A1014,Catalana Textil SA,Passeig de Gràcia,5,08007,Barcelona,ES
A1015,Orion Datentechnik GmbH,Forschungsallee,19,12489,Berlin,DE
A1016,Castor & Pollux Handels oHG,Marktplatz,1,04109,Leipzig,DE
A1017,Rheintal Pharma Gmbh,Am Rheinufer,44,50667,Koeln,DE
A1018,Adriatica Marit. Sp.A.,Lungomare,12,34121,Trieste,IT
A1019,Bayerische Stahlwerke AG.,Hauptstr.,5,80331,München,DE
A1020,Bayerische Stahlwerke AG,Hauptstr.,5,80331,München,DE
A1021,Lumiere Enegie SARL,Rue de la Paix,9,75002,Paris,FR
A1022,Meridian Shipping Ltd,Dockside Road,7,EC3R 6AF,London,GB
A1023,Meridian Shipping Ltd,Dockside Road,7,EC3R 6AF,London,GB
A1024,Nordic Timber AS,Havnegata,4,0150,Oslo,NO
A1025,Nordic Timber /S,Havnegata,4,0150,Oslo,NO
A1026,Maple Leaf Mining Corp,Resource Drive,3,T2P 1J9,Calgary,CA
A1027,Albion Foods Ltd,Market Square,13,M1 1AE,Manchester,GB
A1028,Albion Foods Ltd,Market Square,13,M1 1AE,Manchester,GB
A1029,Vega Robotics GmbH,Technologiepark,2,01069,Dresden,DE
A1030,Globex Technologies Incorporated,Innovation Way,17,02142,Cambridge,US
A1031,Castor & Pollux Handels OHG,Marktplatz,1,04109,Leipzig,DE
A1032,Merdiian Shipping Ltd.,Dockside Road,7,EC3R 6AF,London,GB
A1033,Maple Leaf Mining Corp.,Resource Drive,3,T2P 1J9,Calgary,CA
A1034,Maple Leaf Mining Corp.,Resource Drive,3,T2P 1J9,Calgary,CA
A1035,Oron Datentechnik GmbH,Forschungsallee,19,12489,Berlin,DE
A1036,Helvetia Finanz A.G.,Bahnhofstrasse,3,8001,Zürich,CH
A1037,Iberia Logística .L.,Calle Mayor,60,28013,Madrid,ES
A1038,Iberia Log. S.L.,Calle Mayor,60,28013,Madrid,ES
A1039,Globex Tech Inc,Innovation Way,17,02142,Cambridge,US
A0008,Atlas Trading GmbH,Handelsweg,3,60311,Frankfurt,DE
A0009,Hanseatic Trading GmbH,Hafenstrasse,7,20457,Hamburg,DE
A0010,Hanseatic Trading GmbH,Maximilianstrasse,35,80539,Munich,DE
A0011,Havel Kontor GmbH,Am Kanal,5,14467,Potsdam,DE
A0012,Havel Kontor GmbH,Am Kanal,5,14467,Potsdam,DE
