company,segment,why_them (public signal),champion_role_to_find,name,contact,language,hook,touch1_date,touch2_date,touch3_date,touch4_date,reply,call_date,pilot_status,notes
All for One Group,SAP partner,Hack2Build Agent Builder participant (SAP blog 2026-01),BTP Practice Lead / Head of AI,,,DE,,,,,,,,,
cbs Corporate Business Solutions,SAP partner,Hack2Build Agent Builder participant,Head of Data & AI,,,DE,,,,,,,,,
NTT Data Business Solutions,SAP partner,Hack2Build Agent Builder participant,AI Practice Lead,,,DE,,,,,,,,,
adesso SE,SAP partner + AI consultancy,public GenAI/agent offerings,Head of AI Engineering,,,DE,,,,,,,,,
valantic,SAP partner + AI consultancy,public agentic offerings,Head of Data & AI,,,DE,,,,,,,,,
msg systems,SAP partner,public AI practice,AI Practice Lead,,,DE,,,,,,,,,
Nagarro,SAP partner,public agentic offerings,Head of AI,,,EN,,,,,,,,,
Westernacher,SAP partner,public SAP AI practice,BTP Practice Lead,,,DE,,,,,,,,,
Camelot ITLab,SAP partner,public SAP AI practice,Head of Data & AI,,,DE,,,,,,,,,
Convista,SAP partner,public SAP AI practice,AI Practice Lead,,,DE,,,,,,,,,
mindsquare,SAP partner,public SAP AI practice,AI Practice Lead,,,DE,,,,,,,,,
Scheer,SAP partner,public SAP AI practice,Head of AI,,,DE,,,,,,,,,
statworx,AI consultancy,public agentic AI offerings,Head of AI Engineering,,,DE,,,,,,,,,
Alexander Thamm,AI consultancy,public agentic AI offerings,Head of Data & AI,,,DE,,,,,,,,,
ML6,AI consultancy,public agentic AI offerings,Head of AI Engineering,,,EN,,,,,,,,,
n8n Lab Berlin,n8n delivery agency,agent delivery for clients,Founder / Head of Delivery,,,DE,,,,,,,,,
WemakeFuture,n8n delivery agency,agent delivery for clients,Founder,,,DE,,,,,,,,,
innFactory,n8n delivery agency,agent delivery for clients,Founder / CTO,,,DE,,,,,,,,,
