Customer,CustomerName,AddressID,CustomerAccountGroup,Country,VATRegistration
0010000007,Müller Logistik GmbH,A0007,KUNA,DE,DE196231432
0010001001,Maple eLaf Mining Corp.,A1001,KUNL,CA,CA119456300
0010001002,Bayeriche Stahlwerke AG.,A1002,KUNL,DE,DE064844257
0010001003,Bayersche Stahlwerke AG,A1003,CPD,DE,DE064844257
0010001004,Maple Leaf Mining Corp.,A1004,CPD,CA,CA119456300
0010001005,Lumiere Énergie SARL,A1005,KUNA,FR,FR526407078
0010001006,Lumière Énergie S.A.R.L.,A1006,CPD,FR,FR526407078
0010001007,Nordwind Logistik GmbH,A1007,CPD,DE,DE005972424
0010001008,Nordwind Log. G.m.b.H,A1008,KUNA,DE,DE005972424
0010001009,Orion Datentechnik GmbH,A1009,CPD,DE,DE010072954
0010001010,Schäfer Paez.-technik GmbH,A1010,KUNA,DE,DE107201691
0010001011,Nordc Timber A/S,A1011,KUNL,NO,NO274270068
0010001012,Helvetia Finanz A.G.,A1012,CPD,CH,CH409389644
0010001013,Helvetia Finanz A.G.,A1013,KUNA,CH,CH409389644
0010001014,Catalana Textil S.A.,A1014,CPD,ES,ES971710142
0010001015,Orion Datentechnik GMBH,A1015,KUNL,DE,DE010072954
0010001016,Castor & Pollux Handels oHG,A1016,CPD,DE,DE996676834
0010001017,Rheintal Pharma GmbH,A1017,KUNL,DE,DE123571466
0010001018,Adriatica Marittima SPA,A1018,CPD,IT,IT176726603
0010001019,Bayerische Stahlwerke AG,A1019,KUNL,DE,DE064844257
0010001020,Bayerische Stahlwerke AG,A1020,KUNL,DE,DE064844257
0010001021,Lumiere Énergie S.A.R.L.,A1021,KUNA,FR,FR526407078
0010001022,Meridian Shipping Ltd,A1022,KUNL,GB,GB995935112
0010001023,Meridian Shipping Ltd.,A1023,KUNA,GB,GB995935112
0010001024,Nordic Timber A/S,A1024,CPD,NO,NO274270068
0010001025,Noridc Timber A/S,A1025,KUNL,NO,NO274270068
0010001026,Mapel Leaf Mining Corp,A1026,CPD,CA,CA119456300
0010001027,Albion Foods Ltd,A1027,CPD,GB,GB021928304
0010001028,Albion Foods Ltd,A1028,KUNA,GB,GB021928304
0010001029,Vega Robotics GBH,A1029,KUNA,DE,DE855824254
0010001030,Globex Technologies Inc,A1030,CPD,US,US561589121
0010001031,Castor & Pollux andels OHG,A1031,KUNL,DE,DE996676834
0010001032,Meridian Shipping Ltd.,A1032,KUNL,GB,GB995935112
0010001033,Maple Leaf Mining Corp.,A1033,CPD,CA,CA119456300
0010001034,Maple Leaf Mining Corp.,A1034,KUNA,CA,CA119456300
0010001035,Orion Datentechnik GmbH,A1035,CPD,DE,DE010072954
0010001036,Helvetia Finanz A.G.,A1036,KUNA,CH,CH409389644
0010001037,Iberia Logística SL,A1037,KUNL,ES,ES689381454
0010001038,Iberia Log. S.L.,A1038,KUNA,ES,ES689381454
0010001039,Globex Technologies Incorporated,A1039,CPD,US,US561589121
0010000008,Atlas Trading GmbH,A0008,KUNA,DE,DE781181510
0010000009,Hanseatic Trading GmbH,A0009,KUNA,DE,DE038036172
0010000010,Hanseatic Trading GmbH,A0010,KUNA,DE,DE587393833
